Date,AUD_NZD_ExRate
2024/04/01,1.0909557
2024/04/02,1.09016481
2024/04/03,1.09167487
2024/04/04,1.09189294
2024/04/05,1.09349119
2024/04/06,1.09402063
2024/04/07,1.09398667
2024/04/08,1.09367989
2024/04/09,1.09464782
2024/04/10,1.09338654
2024/04/11,1.08894841
2024/04/12,1.08955278
2024/04/13,1.08873331
2024/04/14,1.0889019
2024/04/15,1.08936563
2024/04/16,1.0911377
2024/04/17,1.08904314
2024/04/18,1.08782416
2024/04/19,1.08778526
2024/04/20,1.08979237
2024/04/21,1.0894702
2024/04/22,1.0891096
2024/04/23,1.08963823
2024/04/24,1.09245041
2024/04/25,1.0949521
2024/04/26,1.09530906
2024/04/27,1.09925953
2024/04/28,1.09919305
2024/04/29,1.09944128
2024/04/30,1.09857133
Start Date,End Date,Number of days,Best Exchange Rate,Worst Exchange Rate,Average Exchange Rate
2024-04-01,2024-04-30,30,1.09944128,1.08778526,1.0922126836666668
